SAMPLES	HABIT	SPIKEROW	COUNTRY	LATITUDE	LONGITUDE	ELEV(m)	Noise_data	LATITUDE_original	LONGITUDE_original
CIho04144	S	6	Afghanistan	34.9334	68.4834	2260.2	0.0001	34.9333	68.4833
CIho04153	S	6	Afghanistan	35.3335	70.1502	2332.1	0.0002	35.3333	70.15
CIho04159	S	6	Afghanistan	34.4503	68.7836	2261	0.0003	34.45	68.7833
CIho04165	S	6	Afghanistan	34.348567	62.200073	926.3	0.0004	34.348167	62.199673
CIho04169	S	0	Afghanistan	34.6838	62.9172	1865.1	0.0005	34.6833	62.9167
CIho04176	S	6	Afghanistan	35.0673	67.6673	2884.5	0.0006	35.0667	67.6667
CIho04184	S	6	Afghanistan	35.734	69.534	3972.6	0.0007	35.7333	69.5333
CIho04188	S	6	Afghanistan	34.5289264	69.17312513	1799.1	0.0008	34.5281264	69.17232513
CIho06601	S-S	6	Afghanistan	34.9509	70.0676	1656	0.0009	34.95	70.0667
CIho06939	S	0	Afghanistan	35.9343	66.4177	1239.6	0.001	35.9333	66.4167
CIho06943	S	6	Afghanistan	34.5344	66.4844	3170.1	0.0011	34.5333	66.4833
CIho11688	S	0	Afghanistan	34.8679	68.0012	2550.7	0.0012	34.8667	68
CIho14250	S	3	Afghanistan	36.8346	70.518	2473.6	0.0013	36.8333	70.5167
CIho14255	S	6	Afghanistan	35.1181	69.3014	1573	0.0014	35.1167	69.3
CIho14258	S	6	Afghanistan	30.5015	62.0015	542	0.0015	30.5	62
CIho14260	S	6	Afghanistan	33.3016	62.1349	1073.8	0.0016	33.3	62.1333
PI125321	S	6	Afghanistan	33.0017	66.0017	2260	0.0017	33	66
PI134636	S	6	Afghanistan	34.4185	69.3851	2103.6	0.0018	34.4167	69.3833
PI135758	S	6	Afghanistan	35.9352	66.4186	1239.6	0.0019	35.9333	66.4167
PI135761	S	0	Afghanistan	34.552	65.152	2357	0.002	34.55	65.15
PI140277	S	6	Afghanistan	33.0021	66.0021	2260	0.0021	33	66
PI140278	S	6	Afghanistan	34.8189	67.8189	2522.8	0.0022	34.8167	67.8167
PI198734	S	6	Afghanistan	33.5523	68.419	2184.8	0.0023	33.55	68.4167
PI220659	S	6	Afghanistan	34.9857	68.7357	2130.5	0.0024	34.9833	68.7333
PI220660	W	6	Afghanistan	35.7525	69.0025	2013	0.0025	35.75	69
PI223446	S	0	Afghanistan	37.1193	70.5693	1193.9	0.0026	37.1167	70.5667
PI223509	S	6	Afghanistan	34.4194	70.4527	577	0.0027	34.4167	70.45
PI223879	S	0	Afghanistan	36.0028	69.7528	2699.309	0.0028	36	69.75
PI223883	S	0	Afghanistan	36.6696	69.1029	476.1	0.0029	36.6667	69.1
PI244785	S	0	Afghanistan	34.5197	69.1863	1799.9	0.003	34.5167	69.1833
PI244791	S	0	Afghanistan	35.0031	69.1698	1554	0.0031	35	69.1667
PI250775	S	0	Afghanistan	31.6032	65.7032	992	0.0032	31.6	65.7
PI250778	S	0	Afghanistan	31.6033	65.7033	992	0.0033	31.6	65.7
PI253940	S	0	Afghanistan	34.5201	69.1867	1799.9	0.0034	34.5167	69.1833
PI268391	S	0	Afghanistan	34.5202	69.1868	1799.9	0.0035	34.5167	69.1833
PI328728	S	6	Afghanistan	33.0036	66.0036	2260	0.0036	33	66
PI328729	S	6	Afghanistan	33.0037	66.0037	2260	0.0037	33	66
PI331895	S	6	Afghanistan	33.0038	66.0038	2260	0.0038	33	66
PI366439	S	0	Afghanistan	34.5539	65.7872	2455.1	0.0039	34.55	65.7833
PI366450	S	6	Afghanistan	34.8707	63.0873	1219.3	0.004	34.8667	63.0833
PI366453	S	6	Afghanistan	33.7708	62.2541	1493	0.0041	33.7667	62.25
PI366478	W	6	Afghanistan	36.6875	67.8375	430.1	0.0042	36.6833	67.8333
PI548724	S	0	Afghanistan	33.0043	66.0043	2260	0.0043	33	66
PI328587	S	6	Albania	41.8044	20.4211	907.2	0.0044	41.8	20.4167
PI331818	S	6	Albania	41.6378	20.2878	641	0.0045	41.6333	20.2833
PI548707	S	0	Albania	41.4213	20.5213	1001.8	0.0046	41.4167	20.5167
CIho01641	S	6	Algeria	36.038	0.138	-0.1	0.0047	36.0333	0.1333
CIho02479	W	6	Algeria	36.0381	0.1381	-0.1	0.0048	36.0333	0.1333
CIho03387	S	6	Algeria	28.0049	3.0049	494	0.0049	28	3
CIho03388	S	6	Algeria	28.005	3.005	494	0.005	28	3
CIho03389	S	6	Algeria	28.0051	3.0051	494	0.0051	28	3
CIho03390	S	6	Algeria	28.0052	3.0052	494	0.0052	28	3
CIho03391	F	6	Algeria	28.0053	3.0053	494	0.0053	28	3
CIho03549	F	6	Algeria	33.0221	6.0221	77.2	0.0054	33.0167	6.0167
CIho14051	W	6	Algeria	33.1055	6.0722	73	0.0055	33.1	6.0667
CIho14052	S	6	Algeria	34.8556	5.7389	114	0.0056	34.85	5.7333
CIho14053	S	6	Algeria	34.8557	5.739	114	0.0057	34.85	5.7333
CIho14054	S	6	Algeria	33.0225	6.0225	77.2	0.0058	33.0167	6.0167
CIho14055	S	6	Algeria	33.0226	6.0226	77.2	0.0059	33.0167	6.0167
CIho14059	S	6	Algeria	34.656	5.8893	19	0.006	34.65	5.8833
CIho14061	S	6	Algeria	28.0061	3.0061	494	0.0061	28	3
PI007584	W	6	Algeria	35.0229	5.5895	252	0.0062	35.0167	5.5833
PI039590	S	6	Algeria	35.4229667	0.1729667	684	0.0063	35.4166667	0.1666667
PI057046	S	6	Algeria	34.8564	5.7397	114	0.0064	34.85	5.7333
PI057047	W	6	Algeria	33.1065	6.0732	73	0.0065	33.1	6.0667
PI057048	W	6	Algeria	33.1066	6.0733	73	0.0066	33.1	6.0667
PI057057	S	6	Algeria	34.8567	5.74	114	0.0067	34.85	5.7333
PI057065	S	0	Algeria	36.7568	3.0568	172	0.0068	36.75	3.05
PI064004	S	6	Algeria	28.0069	3.0069	494	0.0069	28	3
PI263414	F	6	Algeria	28.007	3.007	494	0.007	28	3
PI264213	S	0	Algeria	28.0071	3.0071	494	0.0071	28	3
PI264215	F	0	Algeria	28.0072	3.0072	494	0.0072	28	3
PI327894	S	6	Algeria	28.0073	3.0073	494	0.0073	28	3
PI434871	S	6	Algeria	28.0074	3.0074	494	0.0074	28	3
CIho11787	S	0	AncientPalestine	32.50832224	34.89977772	11.4	0.0075	32.50082224	34.89227772
CIho06194	S	6	Argentina	-33.9924	-63.9924	189	0.0076	-34	-64
CIho07556	S	6	Argentina	-33.9923	-63.9923	189	0.0077	-34	-64
CIho08157	W	6	Argentina	-33.9922	-63.9922	189	0.0078	-34	-64
CIho08162	S	6	Argentina	-33.9921	-63.9921	189	0.0079	-34	-64
CIho11532	S	0	Argentina	-33.992	-63.992	189	0.008	-34	-64
CIho11533	S	0	Argentina	-33.9919	-63.9919	189	0.0081	-34	-64
PI163409	S	6	Argentina	-34.60494881	-58.36902778	31.3	0.0082	-34.61314881	-58.37722778
PI168904	S	0	Argentina	-33.9917	-63.9917	189	0.0083	-34	-64
PI171933	S	6	Argentina	-34.60474881	-58.36882778	31.3	0.0084	-34.61314881	-58.37722778
PI281524	S	0	Argentina	-34.60464881	-58.36872778	31.3	0.0085	-34.61314881	-58.37722778
PI281525	S	6	Argentina	-34.60454881	-58.36862778	31.3	0.0086	-34.61314881	-58.37722778
PI281528	S	2	Argentina	-34.60444881	-58.36852778	31.3	0.0087	-34.61314881	-58.37722778
PI296990	S	0	Argentina	-34.60434881	-58.36842778	31.3	0.0088	-34.61314881	-58.37722778
PI296992	S	6	Argentina	-34.60424881	-58.36832778	31.3	0.0089	-34.61314881	-58.37722778
PI296995	S	0	Argentina	-34.60414881	-58.36822778	31.3	0.009	-34.61314881	-58.37722778
PI296996	S	0	Argentina	-34.60404881	-58.36812778	31.3	0.0091	-34.61314881	-58.37722778
PI296998	S	0	Argentina	-34.60394881	-58.36802778	31.3	0.0092	-34.61314881	-58.37722778
PI337142	S	2	Argentina	-34.60384881	-58.36792778	31.3	0.0093	-34.61314881	-58.37722778
PI337143	S	2	Argentina	-34.60374881	-58.36782778	31.3	0.0094	-34.61314881	-58.37722778
PI337144	S	2	Argentina	-34.60364881	-58.36772778	31.3	0.0095	-34.61314881	-58.37722778
PI337145	S	2	Argentina	-34.60354881	-58.36762778	31.3	0.0096	-34.61314881	-58.37722778
PI344727	S	2	Argentina	-34.60344881	-58.36752778	31.3	0.0097	-34.61314881	-58.37722778
PI344729	S	2	Argentina	-34.60334881	-58.36742778	31.3	0.0098	-34.61314881	-58.37722778
PI346387	S	2	Argentina	-34.60324881	-58.36732778	31.3	0.0099	-34.61314881	-58.37722778
PI346389	S	2	Argentina	-34.60314881	-58.36722778	31.3	0.01	-34.61314881	-58.37722778
PI346390	S	2	Argentina	-34.60304881	-58.36712778	31.3	0.0101	-34.61314881	-58.37722778
PI346396	S	2	Argentina	-34.60294881	-58.36702778	31.3	0.0102	-34.61314881	-58.37722778
CIho14301	S	2	Armenia	40.1936	44.5103	1011.2	0.0103	40.1833	44.5
CIho14302	S	2	Armenia	40.1937	44.5104	1011.2	0.0104	40.1833	44.5
CIho14391	S	2	Armenia	40.0105	45.0105	1886	0.0105	40	45
CIho14394	S	2	Armenia	40.0106	45.0106	1886	0.0106	40	45
CIho14395	S	2	Armenia	40.0107	45.0107	1886	0.0107	40	45
PI061509	S	0	Armenia	40.1941	44.5108	1011.2	0.0108	40.1833	44.5
PI061510	S	0	Armenia	40.1942	44.5109	1011.2	0.0109	40.1833	44.5
PI073291	S	0	Armenia	40.011	45.011	1886	0.011	40	45
PI073292	S	0	Armenia	40.0111	45.0111	1886	0.0111	40	45
PI073298	S	2	Armenia	40.0112	45.0112	1886	0.0112	40	45
PI073299	S	6	Armenia	40.0113	45.0113	1886	0.0113	40	45
PI073301	S	0	Armenia	40.0114	45.0114	1886	0.0114	40	45
PI094797	S	0	Armenia	40.0615	44.5115	896	0.0115	40.05	44.5
PI283397	S	2	Armenia	40.0116	45.0116	1886	0.0116	40	45
PI327669	W	6	Armenia	40.0117	45.0117	1886	0.0117	40	45
PI327837	W	6	Armenia	39.7951	45.2951	1334.3	0.0118	39.7833	45.2833
PI327838	W-S	6	Armenia	40.0119	45.0119	1886	0.0119	40	45
PI327840	W	6	Armenia	40.8787	45.1453	720.7	0.012	40.8667	45.1333
PI327842	W	6	Armenia	40.8788	45.1454	720.7	0.0121	40.8667	45.1333
PI327866	W	6	Armenia	40.0122	45.0122	1886	0.0122	40	45
PI372076	S	2	Armenia	40.0123	45.0123	1886	0.0123	40	45
PI372077	S	2	Armenia	40.9624	44.6624	1272	0.0124	40.95	44.65
PI372091	S	2	Armenia	40.0125	45.0125	1886	0.0125	40	45
PI573610	S	2	Armenia	40.0126	45.0126	1886	0.0126	40	45
PI163543	W	6	Asia	29.8533439	89.309575	5087.6	0.0127	29.8406439	89.296875
CIho02456	S	6	Australia	-35.1039	147.4128	179	0.0128	-35.1167	147.4
CIho05053	S	6	Australia	-33.85494996	151.2202231	69.5	0.0129	-33.86784996	151.2073231
CIho05056	S	6	Australia	-33.85484996	151.2203231	69.5	0.013	-33.86784996	151.2073231
CIho05057	S	6	Australia	-33.85474996	151.2204231	69.5	0.0131	-33.86784996	151.2073231
CIho05058	S	6	Australia	-33.85464996	151.2205231	69.5	0.0132	-33.86784996	151.2073231
CIho06020	S	6	Australia	-33.85454996	151.2206231	69.5	0.0133	-33.86784996	151.2073231
CIho06024	S	6	Australia	-24.9866	122.0134	536	0.0134	-25	122
PI021378	F	2	Australia	-33.85434996	151.2208231	69.5	0.0135	-33.86784996	151.2073231
PI039395	S	6	Australia	-33.85424996	151.2209231	69.5	0.0136	-33.86784996	151.2073231
PI039397	W	6	Australia	-33.85414996	151.2210231	69.5	0.0137	-33.86784996	151.2073231
PI048133	S	6	Australia	-37.7695333	145.0138	29	0.0138	-37.7833333	145
PI048135	S	6	Australia	-37.7694333	145.0139	29	0.0139	-37.7833333	145
PI048142	S	6	Australia	-29.986	135.014	162	0.014	-30	135
PI146663	S	0	Australia	-37.7692333	145.0141	29	0.0141	-37.7833333	145
PI233836	F	0	Australia	-37.7691333	145.0142	29	0.0142	-37.7833333	145
PI235185	S	0	Australia	-29.9857	135.0143	162	0.0143	-30	135
PI266859	S	0	Australia	-37.7689333	145.0144	29	0.0144	-37.7833333	145
PI320213	S	6	Australia	-24.9855	122.0145	536	0.0145	-25	122
PI320216	S	6	Australia	-24.9854	122.0146	536	0.0146	-25	122
PI320217	S	6	Australia	-24.9853	122.0147	536	0.0147	-25	122
PI320219	S	6	Australia	-24.9852	122.0148	536	0.0148	-25	122
PI320227	S	3	Australia	-24.9851	122.0149	536	0.0149	-25	122
PI320229	W	6	Australia	-24.985	122.015	536	0.015	-25	122
PI320239	S	6	Australia	-24.9849	122.0151	536	0.0151	-25	122
PI345736	W	6	Australia	-35.4848	149.0152	892	0.0152	-35.5	149
PI365634	S	2	Australia	-37.7680333	145.0153	29	0.0153	-37.7833333	145
PI371817	S	6	Australia	-33.85244996	151.2227231	69.5	0.0154	-33.86784996	151.2073231
PI483048	S	2	Australia	-19.9845	145.0155	744	0.0155	-20	145
PI584766	S	2	Australia	-24.9844	122.0156	536	0.0156	-25	122
PI591926	S	2	Australia	-37.7676333	145.0157	29	0.0157	-37.7833333	145
PI591928	S	2	Australia	-33.85204996	151.2231231	69.5	0.0158	-33.86784996	151.2073231
CIho03044	S	0	Austria	47.3492333	13.3492333	1359	0.0159	47.3333333	13.3333333
CIho09143	S	0	Austria	47.3493333	13.3493333	1359	0.016	47.3333333	13.3333333
PI129460	S	2	Austria	47.2661	11.3494333	605	0.0161	47.25	11.3333333
PI161975	S	0	Austria	48.22468776	16.38827508	191	0.0162	48.20848776	16.37207508
PI174427	W	2	Austria	48.22478776	16.38837508	191	0.0163	48.20848776	16.37207508
PI183590	S	0	Austria	47.3497333	13.3497333	1359	0.0164	47.3333333	13.3333333
PI183596	S	0	Austria	48.3498333	15.7665	279	0.0165	48.3333333	15.75
PI183598	S	0	Austria	47.3499333	13.3499333	1359	0.0166	47.3333333	13.3333333
PI183631	W	2	Austria	47.5667	16.1	553.9	0.0167	47.55	16.0833
PI183632	W	2	Austria	48.6835	15.6835	305	0.0168	48.6667	15.6667
PI183636	W	6	Austria	48.4169	16.2336	175.9	0.0169	48.4	16.2167
PI183638	W	2	Austria	48.22548776	16.38907508	191	0.017	48.20848776	16.37207508
PI201097	S	2	Austria	47.3504333	13.3504333	1359	0.0171	47.3333333	13.3333333
