Sample	pop6_hap	latitude	longitude
WBDC010	1	36.67	65.73
WBDC011	1	36	43.52
WBDC013	1	35.53	44.83
WBDC023	1	33.5	48.45
WBDC049	1	37.25	44.48
WBDC051	1	34.76	39.03
WBDC056	1	36.72	37.12
WBDC078	1	36.77	40.86
WBDC122	1	32.87	48.17
WBDC124	1	35.02	46.45
WBDC135	1	33.52	35.72
WBDC146	1	36.75	45.7
WBDC147	1	37.5	45.17
WBDC148	1	37.07	45.47
WBDC149	1	38.08	45
WBDC150	1	38.5	47.2
WBDC155	1	36.33	42.17
WBDC156	1	36.42	41.65
WBDC157	1	36.38	43.42
WBDC161	1	36.65	37.58
WBDC164	1	37.01	41.64
WBDC165	1	37.29	42.21
WBDC167	1	36.4	40.36
WBDC168	1	33.57	35.72
WBDC177	1	36.35	43.13
WBDC178	1	36.08	43.28
WBDC186	1	36.88	37.35
WBDC187	1	36.69	37.46
WBDC188	1	36.88	37.52
WBDC189	1	36.76	37.63
WBDC191	1	36.84	37.72
WBDC200	1	34.94	36.66
WBDC201	1	35.56	36.89
WBDC248	1	32.53	35.85
WBDC287	1	32.5	35.5
WBDC295	1	37.08	42.07
WBDC296	1	37.06	41.56
WBDC297	1	37.06	41.75
WBDC298	1	37.08	41.09
WBDC310	1	34.54	36.92
WBDC317	1	35.52	38.76
WBDC019	2	36.75	45.72
WBDC021	2	34.8	45.6
WBDC022	2	39.78	30.52
WBDC024	2	31.28	48.72
WBDC028	2	31.95	34.93
WBDC029	2	31.58	34.62
WBDC030	2	33.08	35.18
WBDC031	2	32.75	35.08
WBDC032	2	33	35.13
WBDC033	2	31.27	35.22
WBDC034	2	31.85	34.92
WBDC035	2	31.43	34.59
WBDC037	2	32.98	35.5
WBDC038	2	46.77	35.21
WBDC040	2	32.7	34.95
WBDC041	2	31.67	34.57
WBDC042	2	32.97	35.53
WBDC043	2	32.98	35.58
WBDC044	2	32.17	34.83
WBDC048	2	37.25	44.48
WBDC052	2	32.32	36.02
WBDC054	2	34.57	38.36
WBDC058	2	34.99	34.02
WBDC060	2	31.35	27.17
WBDC066	2	33.78	36.4
WBDC067	2	33.7	36.38
WBDC070	2	35.61	35.82
