Samples	LATITUDE	LONGITUDE	Populations	indexing_pops	index_pop_lat
CIho00497	27.0652	30.0652	3	490	117
CIho01458	33.4126	44.7126	2	211	282
CIho01461	33.4127	44.7127	2	212	283
CIho01468	33.4129	44.7129	2	213	284
CIho01604	8.0714	38.0714	4	718	9
CIho02266	39.9184	67.2017	2	214	514
CIho02337	33.113	44.113	2	215	264
CIho02339	33.1132	44.1132	2	216	265
CIho02479	36.0381	0.1381	3	491	386
CIho03549	33.0221	6.0221	3	492	258
CIho03556	28.1655	30.8155	3	493	148
CIho03576	31.5823	25.2323	3	494	213
CIho03581	31.5824	25.2324	3	495	214
CIho03642	30.9825	29.5991	3	496	202
CIho03694	26.1327	34.166	3	497	115
CIho03709	31.0494	29.8328	3	498	204
CIho03734	31.0495	29.8329	3	499	205
CIho03826	34.3042	74.4542	2	217	312
CIho03853	34.3376	74.8876	2	218	314
CIho03865	34.3377	74.8877	2	219	315
CIho03886	34.3212	75.1045	2	220	313
CIho04049	46.7595	96.5595	2	221	744
CIho04050	46.3262	95.3929	2	222	722
CIho04056	46.1432	105.1432	2	223	710
CIho04063	46.76	96.56	2	224	745
CIho04064	46.7601	96.5601	2	225	746
CIho04069	46.6602	96.4768	2	226	740
CIho04074	46.7604	96.5604	2	227	747
CIho04083	46.7938	96.6105	2	228	748
CIho04087	60.1793	100.1793	1	1	791
CIho04088	60.1794	100.1794	2	229	792
CIho04095	41.8047	44.8713	1	2	595
CIho04144	34.9334	68.4834	2	230	334
CIho04159	34.4503	68.7836	2	231	320
CIho04176	35.0673	67.6673	2	232	341
CIho04184	35.734	69.534	2	233	371
CIho04188	34.5289264	69.17312513	2	234	322
CIho05023	20.1046	77.1046	2	235	93
CIho05024	20.1047	77.1047	3	500	94
CIho06294	38.5612	38.5112	3	501	465
CIho06557	62.1589	10.1589	3	502	799
CIho06601	34.9509	70.0676	2	236	336
CIho06702	42.088081	43.588005	1	3	621
CIho06721	30.074379	31.277231	3	503	177
CIho06950	32.1087	53.1087	2	237	219
CIho06952	32.7755	51.7421	2	238	248
CIho10058	39.6742	-7.8258	3	504	506
CIho10549	35.2037	38.2037	1	4	345
CIho10550	35.2038	38.2038	1	5	346
CIho11688	34.8679	68.0012	2	239	332
CIho11709	7.9048	36.7382	4	719	7
CIho11757	35.8074569	139.875189	2	240	374
CIho11812	8.0717	38.0717	4	720	10
CIho11849	8.0719	38.0719	4	721	11
CIho13141	8.072	38.072	4	722	12
CIho13353	12.6721	37.5388	1	6	46
CIho13737	9.3889	42.1889	4	723	37
CIho13742	15.4027	39.0027	4	724	68
CIho13743	15.4028	39.0028	4	725	69
CIho13745	15.4029	39.0029	4	726	70
CIho14051	33.1055	6.0722	3	505	261
CIho14052	34.8556	5.7389	3	506	329
CIho14053	34.8557	5.739	3	507	330
CIho14054	33.0225	6.0225	3	508	259
CIho14055	33.0226	6.0226	3	509	260
CIho14059	34.656	5.8893	3	510	325
CIho14124	11.2056	39.7056	4	727	41
CIho14151	46.1439	105.1439	2	241	711
CIho14158	46.144	105.144	2	242	712
CIho14216	46.1443	105.1443	2	243	713
CIho14219	46.1444	105.1444	2	244	714
CIho14222	46.1445	105.1445	2	245	715
CIho14228	46.1447	105.1447	2	246	716
CIho14234	46.1448	105.1448	2	247	717
CIho14239	46.1449	105.1449	2	248	718
CIho14250	36.8346	70.518	2	249	423
CIho14255	35.1181	69.3014	2	250	344
CIho14258	30.5015	62.0015	2	251	190
CIho14260	33.3016	62.1349	2	252	271
CIho14268	39.9581	116.4747	2	253	515
CIho14291	30.7083	104.1083	2	254	199
CIho14302	40.1937	44.5104	1	7	555
CIho14326	40.060116	47.060116	2	255	532
CIho14327	40.048072	47.048072	2	256	530
CIho14328	40.065217	47.065217	1	8	534
CIho14332	40.108033	47.108033	2	257	542
CIho14333	40.101752	47.101752	1	9	540
CIho14334	40.118258	47.118258	1	10	548
CIho14341	40.076993	47.076993	2	258	535
CIho14344	40.044767	47.044767	1	11	529
CIho14345	40.107946	47.107946	1	12	541
CIho14391	40.0105	45.0105	1	13	516
CIho14394	40.0106	45.0106	1	14	517
CIho14395	40.0107	45.0107	1	15	518
CIho14401	22.1503	98.1503	2	259	97
CIho14880	15.403	39.003	4	728	71
CIho14881	15.4031	39.0031	4	729	72
CIho14883	15.4033	39.0033	4	730	73
CIho14978	13.7224	39.6391	4	731	54
CIho15279	36.0249	9.6749	3	511	384
CIho15282	36.025	9.675	3	512	385
CIho15286	37.0584	10.1417	3	513	433
CIho15288	37.0585	10.1418	3	514	434
CIho15290	37.0586	10.1419	3	515	435
CIho15291	37.0587	10.142	3	516	436
CIho15299	33.8255	9.1255	3	517	301
CIho15304	33.7422	9.0256	3	518	294
CIho15309	33.7423	9.0257	3	519	295
CIho15310	33.8091	9.1258	3	520	298
CIho15311	33.8092	9.1259	3	521	299
CIho15313	33.8093	9.126	3	522	300
CIho15326	33.7927	9.0594	3	523	297
CIho15336	33.6928	9.2095	3	524	292
CIho15339	33.9429	9.0263	3	525	304
CIho15349	33.9931	9.0598	3	526	305
CIho15350	33.9932	9.0599	3	527	306
CIho15355	34.2101	9.2101	3	528	309
CIho15362	37.484623	10.08411	3	529	446
CIho15364	34.2271	8.4604	3	530	311
CIho15365	34.1938	8.3772	3	531	308
PI005873	50.0421	10.1754	1	16	784
PI024497	37.8331	62.3831	2	260	450
PI026179	25.1349	17.1349	3	532	109
PI027933	41.8049	44.8715	3	533	596
PI029004	37.8465	62.0498	2	261	451
PI030842	27.355	80.855	2	262	123
PI035051	40.7351	71.8851	1	17	575
PI038305	60.18	32.18	2	263	793
PI038310	60.1801	32.1801	2	264	794
PI038317	60.1802	32.1802	1	18	795
PI038320	60.1803	32.1803	1	19	796
PI038484	36.405141	37.365073	1	20	406
